,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
15,AC8_RE_01,165674.613,586.181,1843.982,526.581,400.591,583.333,577.381,1,35,1.315,0.612,0.761,0.876,Irregular,170,160
16,AC8_RE_01,9318.311,160.273,439.528,136.074,87.191,119.048,142.857,23,76,1.561,0.606,0.641,0.814,Irregular,170,160
17,AC8_RE_01,23526.079,209.689,673.785,194.69,153.857,166.667,196.429,3,82,1.265,0.651,0.79,0.914,Indeterminate,170,160
18,AC8_RE_01,19026.362,239.948,865.108,186.656,129.785,220.238,178.571,10,99,1.438,0.319,0.695,0.731,Irregular,170,160
19,AC8_RE_01,40107.712,339.338,1020.117,334.366,152.727,285.714,279.762,1,66,2.189,0.484,0.457,0.807,Irregular,170,160
20,AC8_RE_01,36954.367,265.999,886.029,240.232,195.86,250,250,1,76,1.227,0.592,0.815,0.833,Irregular,170,160
21,AC8_RE_01,34828.517,303.571,1141.455,280.28,158.217,202.381,273.81,1,76,1.771,0.336,0.564,0.859,Irregular,170,160
22,AC8_RE_01,45918.37,257.608,865.706,246.183,237.487,250,244.048,5,46,1.037,0.77,0.965,0.933,Indeterminate,170,160
23,AC8_RE_01,64236.115,369.815,1006.469,362.659,225.523,345.238,297.619,4,122,1.608,0.797,0.622,0.91,Geometric,170,160
24,AC8_RE_01,128472.23,530.864,1585.418,452.364,361.603,470.238,386.905,1,63,1.251,0.642,0.799,0.908,Irregular,170,160
25,AC8_RE_01,104627.274,443.602,1588.803,373.93,356.258,434.524,392.857,1,46,1.05,0.521,0.953,0.886,Irregular,170,160
26,AC8_RE_01,156994.057,559.65,1748.248,510.347,391.677,500,464.286,1,51,1.303,0.645,0.767,0.919,Irregular,170,160
27,AC8_RE_01,97753.691,436.76,1224.362,384.802,323.449,416.667,333.333,4,131,1.19,0.819,0.841,0.919,Geometric,170,160
28,AC8_RE_01,7582.2,139.342,378.559,119.236,80.965,130.952,95.238,4,49,1.473,0.665,0.679,0.833,Irregular,170,160
29,AC8_RE_01,18884.638,203.167,658.992,183.775,130.837,172.619,178.571,9,55,1.405,0.546,0.712,0.841,Irregular,170,160
30,AC8_RE_01,12471.656,173.029,501.94,143.472,110.68,142.857,160.714,2,58,1.296,0.622,0.771,0.823,Irregular,170,160
31,AC8_RE_01,16014.74,306.07,881.345,191.02,106.746,297.619,208.333,5,93,1.789,0.259,0.559,0.49,Irregular,170,160
32,AC8_RE_01,21187.643,237.872,677.871,197.647,136.491,184.524,208.333,8,52,1.448,0.579,0.691,0.793,Irregular,170,160
33,AC8_RE_01,7865.647,143.105,431.11,124.018,80.753,119.048,113.095,2,40,1.536,0.532,0.651,0.8,Irregular,170,160
34,AC8_RE_02,24659.865,221.201,626.765,209.643,149.769,190.476,202.381,4,79,1.4,0.789,0.714,0.911,Indeterminate,160,150
35,AC8_RE_02,30576.816,383.363,963.482,384.006,101.383,315.476,279.762,7,50,3.788,0.414,0.264,0.825,Irregular,160,150
36,AC8_RE_02,37521.261,305.433,925.478,276.167,172.988,261.905,279.762,12,54,1.596,0.55,0.626,0.832,Irregular,160,150
37,AC8_RE_02,16794.219,189.17,694.706,160.778,132.997,184.524,178.571,3,43,1.209,0.437,0.827,0.757,Irregular,160,150
38,AC8_RE_02,13251.135,189.824,524.305,165.83,101.742,148.81,136.905,3,46,1.63,0.606,0.614,0.888,Irregular,160,150
39,AC8_RE_02,370394.014,914.131,3030.663,864.324,545.629,833.333,851.191,0,83,1.584,0.507,0.631,0.928,Irregular,160,150
40,AC8_RE_02,207447.575,673.908,2525.689,599.95,440.254,541.667,636.905,0,50,1.363,0.409,0.734,0.859,Irregular,160,150
41,AC8_RE_02,19805.84,260.888,698.193,209.694,120.259,148.81,232.143,0,72,1.744,0.511,0.573,0.764,Irregular,160,150
42,AC8_RE_02,95911.287,595.774,1835.914,526.17,232.089,327.381,559.524,1,130,2.267,0.358,0.441,0.741,Irregular,160,150
43,AC8_RE_02,199652.79,618.131,1973.139,550.879,461.455,595.238,523.81,0,122,1.194,0.644,0.838,0.91,Indeterminate,160,150
44,AC8_RE_02,22144.276,250.354,684.844,232.527,121.255,178.571,226.19,3,89,1.918,0.593,0.521,0.833,Indeterminate,160,150
